id,fjmc,fjdm,pcsmc,pcsdm,jwqmc,ewbj
103237,浦东分局,310115,三林派出所,310115470000,城林雅苑居委警务区,"MULTIPOLYGON(((121.504148 31.128281,121.506581 31.128734,121.508697 31.129485,121.509878 31.126622,121.509066 31.126283,121.508261 31.12588,121.507666 31.125527,121.506682 31.124847,121.506492 31.124684,121.506394 31.124599,121.506306 31.124522,121.506276 31.124581,121.506258 31.124571,121.504148 31.128281)))"
103261,浦东分局,310115,三林派出所,310115470000,德康苑居委警务区,"MULTIPOLYGON(((121.506308 31.124524,121.507133 31.122876,121.50888 31.123831,121.50978 31.124291,121.510235 31.124466,121.510699 31.124629,121.510253 31.125735,121.509885 31.126627,121.509048 31.126275,121.508215 31.125851,121.50762 31.125499,121.506682 31.124848,121.506308 31.124524)))"
103268,浦东分局,310115,三林派出所,310115470000,绿波家园居委警务区,"MULTIPOLYGON(((121.499702 31.119986,121.500769 31.117178,121.500521 31.117088,121.500811 31.116639,121.501143 31.116403,121.50093 31.116065,121.501346 31.115707,121.501465 31.114883,121.501486 31.11477,121.501552 31.11469,121.503244 31.115595,121.5034 31.115514,121.503693 31.114903,121.503911 31.114687,121.505179 31.115397,121.504279 31.116699,121.504273 31.116798,121.504806 31.11701,121.503924 31.118118,121.504137 31.118233,121.503273 31.120851,121.499702 31.119986)))"
103514,浦东分局,310115,三林派出所,310115470000,盛世南苑居委警务区,"MULTIPOLYGON(((121.499012 31.122685,121.499331 31.121306,121.499707 31.119988,121.503243 31.120849,121.502821 31.122095,121.502407 31.123321,121.500681 31.122971,121.499842 31.122822,121.499012 31.122685)))"
103521,浦东分局,310115,三林派出所,310115470000,依水园第二居委警务区,"MULTIPOLYGON(((121.504213 31.123478,121.504641 31.121594,121.504974 31.120811,121.50602 31.119294,121.507663 31.120061,121.510032 31.120738,121.509834 31.121244,121.509684 31.121432,121.509094 31.122226,121.508841 31.122644,121.508576 31.123189,121.50846 31.123593,121.507129 31.122877,121.506276 31.124581,121.504213 31.123478)))"
103522,浦东分局,310115,三林派出所,310115470000,城林美苑居委警务区,"MULTIPOLYGON(((121.506259 31.124572,121.504147 31.12828,121.500849 31.127762,121.502586 31.122817,121.503506 31.123162,121.504244 31.123494,121.506259 31.124572)))"
107146,浦东分局,310115,三林派出所,310115470000,懿德第二居委警务区,"MULTIPOLYGON(((121.508705 31.12948,121.5107 31.124624,121.511715 31.12489,121.512665 31.125161,121.512555 31.125523,121.512351 31.125878,121.512106 31.126231,121.511707 31.126599,121.515073 31.127848,121.514556 31.128585,121.514048 31.129321,121.513044 31.130812,121.51098 31.130184,121.509893 31.129847,121.508705 31.12948)))"
107523,浦东分局,310115,三林派出所,310115470000,懿德第一居委警务区,"MULTIPOLYGON(((121.510739 31.124627,121.512682 31.125161,121.512491 31.125658,121.512164 31.126167,121.511718 31.126606,121.515071 31.127844,121.516511 31.12584,121.517945 31.123821,121.517083 31.123352,121.516107 31.122977,121.514112 31.122342,121.511906 31.121711,121.510739 31.124627)))"
107535,浦东分局,310115,三林派出所,310115470000,士韵家园居委警务区,"MULTIPOLYGON(((121.497392 31.127211,121.498043 31.125765,121.498175 31.125499,121.498303 31.125219,121.498392 31.124935,121.498478 31.124637,121.499292 31.124798,121.49999 31.124927,121.501652 31.125469,121.501342 31.126399,121.50109 31.127081,121.500849 31.127764,121.499968 31.127624,121.499101 31.127489,121.497392 31.127211)))"
107760,浦东分局,310115,三林派出所,310115470000,同康苑居委警务区,"MULTIPOLYGON(((121.502581 31.122813,121.50335 31.120548,121.504142 31.118254,121.506013 31.119302,121.505215 31.120451,121.504973 31.120819,121.504642 31.121598,121.504214 31.123478,121.50375 31.123274,121.503275 31.123071,121.502581 31.122813)))"
107788,浦东分局,310115,三林派出所,310115470000,依水园居委警务区,"MULTIPOLYGON(((121.508462 31.123599,121.508575 31.123195,121.508843 31.122641,121.509071 31.122267,121.509444 31.12176,121.509674 31.121447,121.509832 31.121245,121.510029 31.120747,121.511181 31.121084,121.511012 31.121429,121.511904 31.121708,121.510731 31.124641,121.510245 31.124471,121.509779 31.12429,121.509576 31.124193,121.509011 31.123897,121.508878 31.123828,121.508724 31.123741,121.508462 31.123599)))"
107809,浦东分局,310115,三林派出所,310115470000,士韵家园第二居委警务区,"MULTIPOLYGON(((121.495007 31.126873,121.497381 31.127203,121.498271 31.125273,121.498483 31.124637,121.499359 31.124796,121.500211 31.124985,121.500863 31.125203,121.501655 31.125478,121.502399 31.123318,121.500608 31.122956,121.499055 31.122695,121.497875 31.122527,121.496658 31.122527,121.495007 31.126873)))"
145268089,浦东分局,310115,浦兴路派出所,310115780000,第一警务责任区菏泽路第五警务区,"MULTIPOLYGON(((121.596133 31.262628,121.59684 31.261368,121.597471 31.261674,121.598153 31.261989,121.59952 31.26268,121.599844 31.261438,121.600025 31.260782,121.600188 31.260155,121.601361 31.261101,121.60049 31.264661,121.596133 31.262628)))"
145268102,浦东分局,310115,航头派出所,310115160000,鹤沙航城警务责任区南馨佳苑警务区,"MULTIPOLYGON(((121.591772 31.077758,121.592811 31.081654,121.597646 31.081833,121.597893 31.080634,121.598048 31.080324,121.598836 31.078833,121.599365 31.077799,121.599959 31.07659,121.597333 31.076622,121.596426 31.076798,121.591772 31.077758)))"
145268121,浦东分局,310115,张江派出所,310115450000,第一警务责任区丹桂路警务区,"MULTIPOLYGON(((121.615212 31.214642,121.617229 31.215051,121.616733 31.21878,121.613723 31.218351,121.613225 31.218113,121.613177 31.217317,121.614686 31.217528,121.615212 31.214642)))"
145268124,浦东分局,310115,江镇派出所,310115420000,第三警务责任区东港第一居委警务区,"MULTIPOLYGON(((121.748693 31.142758,121.753851 31.144381,121.754797 31.141728,121.749995 31.140357,121.749957 31.140379,121.749344 31.141558,121.748693 31.142758)))"
145268150,浦东分局,310115,川沙派出所,310115410000,第一警务责任区城西警务区,"MULTIPOLYGON(((121.687915 31.202208,121.692662 31.203038,121.692967 31.202217,121.693326 31.201455,121.694175 31.199974,121.695956 31.197102,121.694317 31.196752,121.692457 31.199855,121.689806 31.199672,121.688611 31.199476,121.687915 31.202208)))"
145268153,浦东分局,310115,高行派出所,310115600000,高南警务责任区绿洲一居警务区,"MULTIPOLYGON(((121.589047 31.331175,121.5895 31.329133,121.590572 31.329131,121.592342 31.329126,121.592443 31.328998,121.592485 31.328823,121.592535 31.328558,121.592661 31.328278,121.592816 31.328035,121.593065 31.327673,121.593191 31.327526,121.593251 31.32743,121.593385 31.327086,121.593407 31.326914,121.594401 31.327526,121.595374 31.328238,121.592563 31.330845,121.592292 31.331209,121.589047 31.331175)))"
145268164,浦东分局,310115,六里派出所,310115510000,第一警务责任区南片第六警务区,"MULTIPOLYGON(((121.524705 31.171191,121.534791 31.173036,121.535577 31.171745,121.536336 31.170564,121.536148 31.170506,121.536059 31.170475,121.535984 31.170465,121.535934 31.170443,121.535785 31.170405,121.53559 31.170342,121.535134 31.170228,121.534226 31.169939,121.533874 31.169816,121.533527 31.169723,121.532909 31.169548,121.527246 31.167287,121.525925 31.169138,121.525318 31.170152,121.524705 31.171191)))"
145268208,浦东分局,310115,彭镇派出所,310115910000,东片警务责任区云翔警务区,"MULTIPOLYGON(((121.799879 30.900596,121.799794 30.898597,121.799782 30.897594,121.799795 30.896648,121.805233 30.896598,121.805218 30.900522,121.799879 30.900596)))"
145268225,浦东分局,310115,浦兴路派出所,310115780000,第一警务责任区胶东路第一警务区,"MULTIPOLYGON(((121.597787 31.259678,121.598267 31.25882,121.59704 31.258124,121.596038 31.257561,121.596287 31.257203,121.598341 31.25865,121.599572 31.257405,121.598846 31.256732,121.599283 31.256291,121.599594 31.256055,121.599657 31.255996,121.599676 31.255974,121.599962 31.255743,121.600082 31.255815,121.600152 31.255753,121.600489 31.255405,121.600747 31.255129,121.600796 31.255043,121.601139 31.255338,121.601302 31.255518,121.601586 31.255808,121.601864 31.25619,121.602122 31.256671,121.602444 31.257291,121.602602 31.257547,121.602687 31.257716,121.602872 31.258105,121.603042 31.258462,121.603354 31.259349,121.601033 31.259331,121.600314 31.260256,121.600189 31.260156,121.600168 31.260165,121.599228 31.259437,121.598838 31.260188,121.597787 31.259678)))"
145268226,浦东分局,310115,航头派出所,310115160000,下沙警务责任区沉香村警务区,"MULTIPOLYGON(((121.58602 31.072008,121.586518 31.067242,121.591326 31.067659,121.59152 31.067672,121.591486 31.067754,121.591283 31.067752,121.591172 31.067976,121.591018 31.068294,121.59071 31.068928,121.590312 31.070149,121.589991 31.071379,121.589583 31.072386,121.588192 31.072059,121.58602 31.072008)))"
145268229,浦东分局,310115,川沙派出所,310115410000,第三警务责任区城南村警务区,"MULTIPOLYGON(((121.710055 31.197756,121.711976 31.198362,121.712113 31.198181,121.712486 31.198272,121.712704 31.197863,121.713534 31.197992,121.713696 31.197668,121.713512 31.197587,121.713625 31.197342,121.712152 31.196891,121.712333 31.196524,121.711068 31.196039,121.710055 31.197756)))"
145268231,浦东分局,310115,川沙派出所,310115410000,第三警务责任区城南村警务区,"MULTIPOLYGON(((121.711004 31.194296,121.710927 31.194247,121.712034 31.192469,121.713004 31.190399,121.713622 31.190608,121.712304 31.192448,121.711004 31.194296)))"
145268234,浦东分局,310115,新场派出所,310115390000,北片警务责任区坦直警务区,"MULTIPOLYGON(((121.646374 31.073078,121.644099 31.073065,121.643975 31.072665,121.643559 31.072498,121.643307 31.072303,121.64379 31.071556,121.64394 31.071161,121.6448 31.071513,121.64523 31.071685,121.645797 31.07184,121.646867 31.072195,121.647395 31.07232,121.64778 31.072263,121.648129 31.072206,121.648522 31.072161,121.649456 31.072095,121.650606 31.07205,121.651959 31.072341,121.652956 31.072628,121.653222 31.072713,121.653675 31.073236,121.654429 31.074128,121.654023 31.073929,121.652976 31.073891,121.652156 31.073843,121.652088 31.073823,121.652042 31.074791,121.651401 31.074755,121.650696 31.074754,121.650249 31.074763,121.650251 31.074325,121.64992 31.074322,121.649911 31.074749,121.648533 31.074768,121.648488 31.076325,121.646877 31.076397,121.646657 31.073067,121.646404 31.073031,121.646386 31.073066,121.646374 31.073078)))"
145268236,浦东分局,310115,芦潮港派出所,310115920000,第二警务责任区港口警务区,"MULTIPOLYGON(((121.850427 30.863074,121.852974 30.863295,121.853061 30.862765,121.854329 30.862937,121.854774 30.860164,121.857325 30.860897,121.857749 30.858513,121.860332 30.860564,121.862486 30.859305,121.865334 30.860616,121.871101 30.865692,121.889797 30.849829,121.912906 30.859205,121.916315 30.856275,121.89195 30.845823,121.885764 30.845409,121.88361 30.846965,121.878745 30.846313,121.852601 30.847896,121.851212 30.845867,121.849407 30.845153,121.843367 30.845044,121.839897 30.843078,121.834691 30.842908,121.834599 30.861741,121.834623 30.86983,121.839833 30.869829,121.839959 30.878313,121.841571 30.87839,121.841588 30.878353,121.844325 30.87851,121.844608 30.875356,121.845116 30.86976,121.848488 30.869788,121.849055 30.867172,121.849217 30.866126,121.84933 30.865132,121.84966 30.863005,121.850427 30.863074)))"
145268238,浦东分局,310115,上钢新村派出所,310115490000,第一警务责任区上钢六村警务区,"MULTIPOLYGON(((121.490919 31.173448,121.489682 31.17321,121.488319 31.172932,121.488889 31.170542,121.489414 31.170651,121.489959 31.170763,121.490687 31.170858,121.491547 31.170974,121.492318 31.171025,121.492268 31.171448,121.492358 31.171466,121.492372 31.171927,121.492353 31.172046,121.492371 31.172088,121.491752 31.17197,121.491706 31.172097,121.491576 31.172129,121.49129 31.17209,121.491231 31.17228,121.49126 31.172277,121.491191 31.172419,121.491161 31.172566,121.49108 31.172834,121.49102 31.17318,121.490919 31.173448)))"
145268242,浦东分局,310115,上钢新村派出所,310115490000,第三警务责任区上钢七村警务区,"MULTIPOLYGON(((121.487423 31.175423,121.486822 31.175083,121.486207 31.174744,121.484996 31.17401,121.485467 31.173354,121.486021 31.17274,121.486123 31.172606,121.486145 31.172387,121.486475 31.171271,121.486756 31.170179,121.487751 31.170332,121.488893 31.170521,121.488347 31.172802,121.487935 31.174089,121.487717 31.174739,121.487423 31.175423)))"
145268249,浦东分局,310115,彭镇派出所,310115910000,东片警务责任区云荷警务区,"MULTIPOLYGON(((121.806828 30.913304,121.806318 30.910978,121.806172 30.910983,121.806042 30.910792,121.80402 30.907787,121.807359 30.907229,121.810809 30.912116,121.811215 30.91269,121.809042 30.912903,121.806828 30.913304)))"
145268250,浦东分局,310115,高行派出所,310115600000,东沟警务责任区浦江居委警务区,"MULTIPOLYGON(((121.584249 31.291726,121.584009 31.294749,121.586187 31.294729,121.588869 31.294703,121.588827 31.291676,121.584249 31.291726)))"
